Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Step Count
2024-11-16,Afternoon Workout,1h 13m,Iso-Lateral Chest Press (Machine),1,100.0,7.0,8118
2024-11-16,Afternoon Workout,1h 13m,Iso-Lateral Chest Press (Machine),2,90.0,7.0,8118
2024-11-16,Afternoon Workout,1h 13m,Iso-Lateral Chest Press (Machine),3,90.0,5.0,8118
2024-11-16,Afternoon Workout,1h 13m,Chest Fly,1,135.0,5.0,8118
2024-11-16,Afternoon Workout,1h 13m,Chest Fly,2,115.0,7.0,8118
2024-11-16,Afternoon Workout,1h 13m,Chest Fly,3,100.0,7.0,8118
2024-11-16,Afternoon Workout,1h 13m,Single Arm Tricep,1,17.5,10.0,8118
2024-11-16,Afternoon Workout,1h 13m,Single Arm Tricep,2,17.5,9.0,8118
2024-11-16,Afternoon Workout,1h 13m,Single Arm Tricep,3,17.5,7.0,8118
2024-11-16,Afternoon Workout,1h 13m,Overhead Tricep,1,32.5,9.0,8118
2024-11-16,Afternoon Workout,1h 13m,Overhead Tricep,2,32.5,6.0,8118
2024-11-16,Afternoon Workout,1h 13m,Overhead Tricep,3,27.5,4.0,8118
2024-11-16,Afternoon Workout,1h 13m,Lateral Raise (Cable),1,7.5,10.0,8118
2024-11-16,Afternoon Workout,1h 13m,Lateral Raise (Cable),2,7.5,8.0,8118
2024-11-16,Afternoon Workout,1h 13m,Lateral Raise (Cable),3,7.5,5.0,8118
2024-11-19,Evening Workout,1h 30m,Squat (Barbell),1,215.0,3.0,6729
2024-11-19,Evening Workout,1h 30m,Squat (Barbell),2,195.0,4.0,6729
2024-11-19,Evening Workout,1h 30m,Squat (Barbell),3,155.0,4.0,6729
2024-11-19,Evening Workout,1h 30m,Seated Leg Press (Machine),1,230.0,7.0,6729
2024-11-19,Evening Workout,1h 30m,Seated Leg Curl (Machine),1,100.0,9.0,6729
2024-11-19,Evening Workout,1h 30m,Seated Leg Curl (Machine),2,95.0,10.0,6729
2024-11-19,Evening Workout,1h 30m,Seated Leg Curl (Machine),3,95.0,8.0,6729
2024-11-19,Evening Workout,1h 30m,Leg Extension (Machine),1,195.0,8.0,6729
2024-11-19,Evening Workout,1h 30m,Leg Extension (Machine),2,195.0,4.0,6729
2024-11-21,Evening Workout,1h 3m,Bench Press (Barbell),1,160.0,4.0,8717
2024-11-21,Evening Workout,1h 3m,Bench Press (Barbell),2,145.0,7.0,8717
2024-11-21,Evening Workout,1h 3m,Bench Press (Barbell),3,125.0,9.0,8717
2024-11-21,Evening Workout,1h 3m,Incline Bench Press (Barbell),1,105.0,7.0,8717
2024-11-21,Evening Workout,1h 3m,Incline Bench Press (Barbell),2,95.0,9.0,8717
2024-11-21,Evening Workout,1h 3m,Incline Bench Press (Barbell),3,95.0,5.0,8717
2024-11-21,Evening Workout,1h 3m,Seated Dip,1,145.0,10.0,8717
2024-11-21,Evening Workout,1h 3m,Seated Dip,2,145.0,8.0,8717
2024-11-21,Evening Workout,1h 3m,Seated Dip,3,140.0,7.0,8717
2024-11-21,Evening Workout,1h 3m,Lateral Raise (Cable),1,10.0,8.0,8717
2024-11-21,Evening Workout,1h 3m,Lateral Raise (Cable),2,10.0,7.0,8717
2024-11-21,Evening Workout,1h 3m,Lateral Raise (Cable),3,7.5,6.0,8717
2024-11-21,Evening Workout,1h 3m,Overhead Tricep,1,37.49999999999999,5.0,8717
2024-11-21,Evening Workout,1h 3m,Overhead Tricep,2,32.5,6.0,8717
2024-11-21,Evening Workout,1h 3m,Overhead Tricep,3,27.5,3.0,8717
2024-11-21,Evening Workout,1h 3m,Chest Fly,1,135.0,9.0,8717
2024-11-22,Evening Workout,1h 6m,Lat Pulldown (Cable),1,60.0,10.0,11896
2024-11-22,Evening Workout,1h 6m,Lat Pulldown (Cable),2,60.0,5.0,11896
2024-11-22,Evening Workout,1h 6m,Lat Pulldown (Cable),3,50.0,7.0,11896
2024-11-22,Evening Workout,1h 6m,Low Row Machine ,1,130.0,7.0,11896
2024-11-22,Evening Workout,1h 6m,Low Row Machine ,2,130.0,6.0,11896
2024-11-22,Evening Workout,1h 6m,Low Row Machine ,3,110.0,7.0,11896
2024-11-22,Evening Workout,1h 6m,Seated Row (Cable),1,110.0,5.0,11896
2024-11-22,Evening Workout,1h 6m,Seated Row (Cable),2,90.0,17.0,11896
2024-11-22,Evening Workout,1h 6m,Bayesian Cable Curl ,1,17.5,10.0,11896
2024-11-22,Evening Workout,1h 6m,Bayesian Cable Curl ,2,17.5,7.0,11896
2024-11-22,Evening Workout,1h 6m,Bayesian Cable Curl ,3,17.5,11.0,11896
2024-11-22,Evening Workout,1h 6m,Hammer Curl (Dumbbell),1,22.5,8.0,11896
2024-11-23,Afternoon Workout,52m,Squat (Barbell),1,205.0,4.0,11542
2024-11-23,Afternoon Workout,52m,Squat (Barbell),2,185.00000000000003,5.0,11542
2024-11-23,Afternoon Workout,52m,Squat (Barbell),3,185.00000000000003,6.0,11542
2024-11-23,Afternoon Workout,52m,Seated Leg Press (Machine),1,240.0,4.0,11542
2024-11-23,Afternoon Workout,52m,Seated Leg Press (Machine),2,220.0,10.0,11542
2024-11-23,Afternoon Workout,52m,Seated Leg Press (Machine),3,200.0,7.0,11542
2024-11-23,Afternoon Workout,52m,Seated Leg Curl (Machine),1,110.0,8.0,11542
2024-11-23,Afternoon Workout,52m,Seated Leg Curl (Machine),2,95.0,9.0,11542
2024-11-23,Afternoon Workout,52m,Standing Calf Raise (Smith Machine),1,160.0,13.0,11542
2024-11-23,Afternoon Workout,52m,Standing Calf Raise (Smith Machine),2,160.0,10.0,11542
2024-11-25,Midday Workout,1h 4m,Bench Press (Barbell),1,160.0,4.0,10560
2024-11-25,Midday Workout,1h 4m,Bench Press (Barbell),2,170.0,3.0,10560
2024-11-25,Midday Workout,1h 4m,Bench Press (Barbell),3,135.0,9.0,10560
2024-11-25,Midday Workout,1h 4m,Incline Bench Press (Barbell),1,115.0,5.0,10560
2024-11-25,Midday Workout,1h 4m,Incline Bench Press (Barbell),2,105.0,7.0,10560
2024-11-25,Midday Workout,1h 4m,Incline Bench Press (Barbell),3,95.0,6.0,10560
2024-11-25,Midday Workout,1h 4m,Seated Dip,1,170.0,8.0,10560
2024-11-25,Midday Workout,1h 4m,Seated Dip,2,170.0,6.0,10560
2024-11-25,Midday Workout,1h 4m,Seated Dip,3,140.0,6.0,10560
2024-11-25,Midday Workout,1h 4m,Chest Fly,1,135.0,8.0,10560
2024-11-25,Midday Workout,1h 4m,Chest Fly,2,115.0,5.0,10560
2024-11-25,Midday Workout,1h 4m,Lateral Raise (Cable),1,10.0,10.0,10560
2024-11-25,Midday Workout,1h 4m,Lateral Raise (Cable),2,10.0,8.0,10560
2024-12-02,Evening Workout,3h 46m,Weird Pull down ,1,120.0,7.0,11350
2024-12-02,Evening Workout,3h 46m,Weird Pull down ,2,100.0,6.0,11350
2024-12-02,Evening Workout,3h 46m,Weird Pull down ,3,90.0,12.0,11350
2024-12-02,Evening Workout,3h 46m,Low Row Machine ,1,140.0,5.0,11350
2024-12-02,Evening Workout,3h 46m,Low Row Machine ,2,130.0,5.0,11350
2024-12-02,Evening Workout,3h 46m,Low Row Machine ,3,110.0,7.0,11350
2024-12-02,Evening Workout,3h 46m,Seated Row (Cable),1,110.0,6.0,11350
2024-12-02,Evening Workout,3h 46m,Seated Row (Cable),2,100.0,7.0,11350
2024-12-02,Evening Workout,3h 46m,Reverse Fly (Machine),1,120.0,7.0,11350
2024-12-02,Evening Workout,3h 46m,Reverse Fly (Machine),2,100.0,10.0,11350
2024-12-02,Evening Workout,3h 46m,Bayesian Cable Curl ,1,20.0,12.0,11350
2024-12-02,Evening Workout,3h 46m,Bayesian Cable Curl ,2,20.0,9.0,11350
2024-12-02,Evening Workout,3h 46m,Bayesian Cable Curl ,3,20.0,7.0,11350
2024-12-02,Evening Workout,3h 46m,Preacher Curl (Machine),1,50.0,7.0,11350
2024-12-02,Evening Workout,3h 46m,Preacher Curl (Machine),2,50.0,7.0,11350
2024-12-03,Evening Workout,22h 33m,Squat (Barbell),1,205.0,6.0,7776
2024-12-03,Evening Workout,22h 33m,Squat (Barbell),2,205.0,3.0,7776
2024-12-03,Evening Workout,22h 33m,Squat (Barbell),3,185.00000000000003,5.0,7776
2024-12-03,Evening Workout,22h 33m,Seated Leg Press (Machine),1,235.0,7.0,7776
2024-12-03,Evening Workout,22h 33m,Seated Leg Press (Machine),2,235.0,4.0,7776
2024-12-03,Evening Workout,22h 33m,Seated Leg Press (Machine),3,210.0,6.0,7776
2024-12-03,Evening Workout,22h 33m,Seated Leg Curl (Machine),1,115.0,6.0,7776
2024-12-03,Evening Workout,22h 33m,Seated Leg Curl (Machine),2,100.0,8.0,7776
2024-12-04,Evening Workout,1h 22m,Bench Press (Barbell),1,165.0,3.0,8866
2024-12-04,Evening Workout,1h 22m,Bench Press (Barbell),2,165.0,3.0,8866
2024-12-04,Evening Workout,1h 22m,Bench Press (Barbell),3,145.0,5.0,8866
2024-12-04,Evening Workout,1h 22m,Incline Bench Press (Barbell),1,115.0,6.0,8866
2024-12-04,Evening Workout,1h 22m,Incline Bench Press (Barbell),2,105.0,8.0,8866
2024-12-04,Evening Workout,1h 22m,Incline Bench Press (Barbell),3,105.0,7.0,8866
2024-12-04,Evening Workout,1h 22m,Chest Fly,1,135.0,10.0,8866
2024-12-04,Evening Workout,1h 22m,Chest Fly,2,135.0,6.0,8866
2024-12-04,Evening Workout,1h 22m,Chest Fly,3,115.0,5.0,8866
2024-12-04,Evening Workout,1h 22m,Seated Dip,1,170.0,8.0,8866
2024-12-04,Evening Workout,1h 22m,Seated Dip,2,170.0,6.0,8866
2024-12-04,Evening Workout,1h 22m,Seated Dip,3,140.0,9.0,8866
2024-12-04,Evening Workout,1h 22m,Lateral Raise (Cable),1,12.5,4.0,8866
2024-12-04,Evening Workout,1h 22m,Lateral Raise (Cable),2,10.0,9.0,8866
2024-12-04,Evening Workout,1h 22m,Overhead Tricep,1,37.49999999999999,10.0,8866
2024-12-04,Evening Workout,1h 22m,Overhead Tricep,2,32.5,9.0,8866
2024-12-04,Evening Workout,1h 22m,Overhead Tricep,3,32.5,9.0,8866
2024-12-07,Afternoon Workout,5h 35m,Weird Pull down ,1,120.0,8.0,6214
2024-12-07,Afternoon Workout,5h 35m,Weird Pull down ,2,105.0,9.0,6214
2024-12-07,Afternoon Workout,5h 35m,Weird Pull down ,3,105.0,6.0,6214
2024-12-07,Afternoon Workout,5h 35m,Low Row Machine ,1,140.0,5.0,6214
2024-12-07,Afternoon Workout,5h 35m,Low Row Machine ,2,130.0,7.0,6214
2024-12-07,Afternoon Workout,5h 35m,Low Row Machine ,3,130.0,4.0,6214
2024-12-07,Afternoon Workout,5h 35m,Bayesian Cable Curl ,1,22.5,8.0,6214
2024-12-07,Afternoon Workout,5h 35m,Bayesian Cable Curl ,2,22.5,5.0,6214
2024-12-07,Afternoon Workout,5h 35m,Bayesian Cable Curl ,3,20.0,10.0,6214
2024-12-07,Afternoon Workout,5h 35m,Seated Row (Cable),1,110.0,7.0,6214
2024-12-07,Afternoon Workout,5h 35m,Seated Row (Cable),2,100.0,4.0,6214
2024-12-07,Afternoon Workout,5h 35m,Single Arm Reverse Fly,1,55.0,7.0,6214
2024-12-07,Afternoon Workout,5h 35m,Single Arm Reverse Fly,2,45.0,7.0,6214
2024-12-07,Afternoon Workout,5h 35m,Preacher Curl (Machine),1,50.0,12.0,6214
2024-12-07,Afternoon Workout,5h 35m,Preacher Curl (Machine),2,50.0,8.0,6214
